,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis (NEC),Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Apr-19,0,1,0,5,0,1,4,3,14,0,0,0,0.1,0,0.2,0.1,0.1,0.1,,,,,,,,,,
Hepatitis B (unspecified),Apr-19,4,186,9,66,20,6,151,35,477,0.9,2.3,3.7,1.3,1.1,1.1,2.3,1.3,1.9,,,,,,,,,,
Hepatitis C (newly acquired),Apr-19,1,4,0,32,1,0,1,13,52,0.2,0,0,0.6,0.1,0,0,0.5,0.2,,,,,,,,,,
Hepatitis C (unspecified),Apr-19,6,250,15,151,27,9,156,67,681,1.4,3.1,6.1,3,1.5,1.7,2.4,2.6,2.7,,,,,,,,,,
Hepatitis D,Apr-19,0,2,0,1,0,0,1,2,6,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Botulism,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Apr-19,30,798,34,598,215,35,475,242,2427,7,9.9,13.8,11.7,12.3,6.5,7.2,9.2,14.1,,,,,,,,,,
Cryptosporidiosis,Apr-19,2,36,13,69,8,3,81,27,239,0.5,0.4,5.3,1.4,0.5,0.6,1.2,1,0.9,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Apr-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Apr-19,0,5,0,3,1,1,3,0,13,0,0.1,0,0.1,0.1,0.2,0,0,0.1,,,,,,,,,,
Hepatitis E,Apr-19,0,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Apr-19,2,2,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Apr-19,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Apr-19,0,4,0,3,17,0,6,21,51,0,0,0,0.1,1,0,0.1,0.8,0.2,,,,,,,,,,
Salmonellosis,Apr-19,15,328,36,407,72,20,302,203,1383,3.5,4.1,14.6,8,4.1,3.7,4.6,7.7,5.5,,,,,,,,,,
Shigellosis,Apr-19,6,72,31,50,38,1,84,31,313,1.4,0.9,12.6,1,2.2,0.2,1.3,1.2,1.2,,,,,,,,,,
Typhoid Fever,Apr-19,1,2,0,0,0,0,3,0,6,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Apr-19,0,11,0,2,5,1,3,3,25,0,0.1,0,0,0.3,0.2,0,0.1,0.1,,,,,,,,,,
Leprosy,Apr-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Apr-19,0,1,0,3,3,1,2,1,11,0,0,0,0.1,0.2,0.2,0,0,0,,,,,,,,,,
Tuberculosis,Apr-19,2,49,3,16,5,1,42,9,127,0.5,0.6,1.2,0.3,0.3,0.2,0.6,0.3,0.5,,,,,,,,,,
COVID-19,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Apr-19,0,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Apr-19,144,2415,273,1809,474,114,2090,914,8233,33.8,29.9,110.9,35.5,27,21.3,31.7,34.9,32.5,,,,,,,,,,
Donovanosis,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Apr-19,32,933,116,445,194,7,684,280,2691,7.5,11.5,47.1,8.7,11.1,1.3,10.4,10.7,10.6,,,,,,,,,,
Syphilis < 2 years,Apr-19,4,151,22,61,7,0,136,45,426,0.9,1.9,8.9,1.2,0.4,0,2.1,1.7,1.7,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Apr-19,1,61,8,27,10,0,90,24,221,0.2,0.8,3.3,0.5,0.6,0,1.4,0.9,0.9,,,,,,,,,,
Syphilis congenital,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Apr-19,0,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Apr-19,78,3292,294,2950,6904,388,4199,586,18691,18.3,40.7,119.5,57.9,394,72.6,63.7,22.4,73.7,,,,,,,,,,
Measles,Apr-19,0,9,0,4,1,1,4,4,23,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,,,,,,,,,,
Mumps,Apr-19,0,6,0,3,0,0,2,4,15,0,0.1,0,0.1,0,0,0,0.2,0.1,,,,,,,,,,
Pertussis,Apr-19,11,455,4,80,18,45,128,52,793,2.6,5.6,1.6,1.6,1,8.4,1.9,2,3.1,,,,,,,,,,
Pneumococcal disease (invasive),Apr-19,4,46,6,28,16,3,45,16,164,0.9,0.6,2.4,0.5,0.9,0.6,0.7,0.6,0.6,,,,,,,,,,
Poliovirus infection,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Apr-19,12,57,3,63,37,2,21,24,219,2.8,0.7,1.2,1.2,2.1,0.4,0.3,0.9,0.9,,,,,,,,,,
Rubella,Apr-19,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Apr-19,19,NN,5,30,50,6,119,42,271,4.5,NN,2,0.6,2.9,1.1,1.8,1.6,1.1,,,,,,,,,,
Varicella zoster (shingles),Apr-19,47,NN,44,275,268,31,230,161,1056,11,NN,17.9,5.4,15.3,5.8,3.5,6.1,4.2,,,,,,,,,,
Varicella zoster (unspecified),Apr-19,12,NN,0,412,1,13,674,97,1209,2.8,NN,0,8.1,0.1,2.4,10.2,3.7,4.8,,,,,,,,,,
Barmah Forest virus infection,Apr-19,0,10,0,9,0,0,0,2,21,0,0.1,0,0.2,0,0,0,0.1,0.1,,,,,,,,,,
Chikungunya virus infection,Apr-19,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Apr-19,3,45,6,19,8,3,28,28,140,0.7,0.6,2.4,0.4,0.5,0.6,0.4,1.1,0.6,,,,,,,,,,
Flavivirus infection (unspecified),Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Apr-19,1,3,0,6,7,1,3,6,27,0.2,0,0,0.1,0.4,0.2,0,0.2,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Apr-19,0,83,17,227,3,2,17,35,384,0,1,6.9,4.5,0.2,0.4,0.3,1.3,1.5,,,,,,,,,,
West Nile/Kunjin virus infection,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Apr-19,0,0,0,8,0,0,0,0,8,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Apr-19,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Apr-19,0,16,0,21,1,0,4,1,43,0,0.2,0,0.4,0.1,0,0.1,0,0.2,,,,,,,,,,
Tularaemia,Apr-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Mar-19,0,1,0,3,0,0,10,0,14,0,0,0,0.1,0,0,0.2,0,0.1,,,,,,,,,,
Hepatitis B (unspecified),Mar-19,7,208,11,75,47,3,159,33,543,1.6,2.6,4.5,1.5,2.7,0.6,2.4,1.3,2.1,,,,,,,,,,
Hepatitis C (newly acquired),Mar-19,3,3,1,35,3,2,6,7,60,0.7,0,0.4,0.7,0.2,0.4,0.1,0.3,0.2,,,,,,,,,,
Hepatitis C (unspecified),Mar-19,10,329,9,163,31,9,155,96,802,2.3,4.1,3.7,3.2,1.8,1.7,2.4,3.7,3.2,,,,,,,,,,
Hepatitis D,Mar-19,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Mar-19,41,941,31,704,250,60,543,216,2786,9.6,11.6,12.6,13.8,14.3,11.2,8.2,8.2,16.1,,,,,,,,,,
Cryptosporidiosis,Mar-19,1,87,12,72,9,4,80,28,293,0.2,1.1,4.9,1.4,0.5,0.7,1.2,1.1,1.2,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Mar-19,1,9,0,6,2,0,8,6,32,0.2,0.1,0,0.1,0.1,0,0.1,0.2,0.1,,,,,,,,,,
Hepatitis E,Mar-19,0,5,1,0,1,0,3,0,10,0,0.1,0.4,0,0.1,0,0,0,0,,,,,,,,,,
Listeriosis,Mar-19,0,0,0,1,1,0,0,0,2,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Paratyphoid,Mar-19,0,8,0,1,1,0,7,1,18,0,0.1,0,0,0.1,0,0.1,0,0.1,,,,,,,,,,
STEC,Mar-19,0,3,0,4,32,0,5,13,57,0,0,0,0.1,1.8,0,0.1,0.5,0.2,,,,,,,,,,
Salmonellosis,Mar-19,16,384,47,459,115,25,274,208,1528,3.8,4.7,19.1,9,6.6,4.7,4.2,7.9,6,,,,,,,,,,
Shigellosis,Mar-19,1,69,23,62,26,4,62,31,278,0.2,0.9,9.3,1.2,1.5,0.7,0.9,1.2,1.1,,,,,,,,,,
Typhoid Fever,Mar-19,0,5,0,3,1,0,7,3,19,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Legionellosis,Mar-19,0,15,0,4,2,1,3,2,27,0,0.2,0,0.1,0.1,0.2,0,0.1,0.1,,,,,,,,,,
Leprosy,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Mar-19,0,1,1,5,0,1,1,3,12,0,0,0.4,0.1,0,0.2,0,0.1,0,,,,,,,,,,
Tuberculosis,Mar-19,3,51,4,12,2,1,36,11,120,0.7,0.6,1.6,0.2,0.1,0.2,0.5,0.4,0.5,,,,,,,,,,
COVID-19,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Mar-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Mar-19,142,2805,247,2112,580,157,2214,948,9205,33.3,34.7,100.4,41.5,33.1,29.4,33.6,36.2,36.3,,,,,,,,,,
Donovanosis,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Mar-19,23,1061,128,455,195,9,769,362,3002,5.4,13.1,52,8.9,11.1,1.7,11.7,13.8,11.8,,,,,,,,,,
Syphilis < 2 years,Mar-19,0,138,27,108,11,1,186,44,515,0,1.7,11,2.1,0.6,0.2,2.8,1.7,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Mar-19,0,77,6,34,14,3,67,18,219,0,1,2.4,0.7,0.8,0.6,1,0.7,0.9,,,,,,,,,,
Syphilis congenital,Mar-19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Mar-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Mar-19,67,3053,103,2685,2611,147,2154,407,11227,15.7,37.8,41.9,52.7,149,27.5,32.7,15.5,44.3,,,,,,,,,,
Measles,Mar-19,0,11,26,5,0,0,2,1,45,0,0.1,10.6,0.1,0,0,0,0,0.2,,,,,,,,,,
Mumps,Mar-19,0,5,0,5,0,0,3,2,15,0,0.1,0,0.1,0,0,0,0.1,0.1,,,,,,,,,,
Pertussis,Mar-19,22,498,5,111,19,64,167,49,935,5.2,6.2,2,2.2,1.1,12,2.5,1.9,3.7,,,,,,,,,,
Pneumococcal disease (invasive),Mar-19,1,23,4,16,18,1,30,11,104,0.2,0.3,1.6,0.3,1,0.2,0.5,0.4,0.4,,,,,,,,,,
Poliovirus infection,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Mar-19,16,41,4,62,41,3,24,26,217,3.8,0.5,1.6,1.2,2.3,0.6,0.4,1,0.9,,,,,,,,,,
Rubella,Mar-19,0,2,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Mar-19,19,NN,7,48,66,7,139,56,342,4.5,NN,2.8,0.9,3.8,1.3,2.1,2.1,1.3,,,,,,,,,,
Varicella zoster (shingles),Mar-19,35,NN,36,312,310,40,257,197,1187,8.2,NN,14.6,6.1,17.7,7.5,3.9,7.5,4.7,,,,,,,,,,
Varicella zoster (unspecified),Mar-19,16,NN,0,451,5,15,674,127,1288,3.8,NN,0,8.9,0.3,2.8,10.2,4.8,5.1,,,,,,,,,,
Barmah Forest virus infection,Mar-19,0,6,0,19,1,4,0,0,30,0,0.1,0,0.4,0.1,0.7,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Mar-19,0,2,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Mar-19,1,37,0,18,6,0,25,37,124,0.2,0.5,0,0.4,0.3,0,0.4,1.4,0.5,,,,,,,,,,
Flavivirus infection (unspecified),Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Mar-19,0,6,1,5,4,0,5,7,28,0,0.1,0.4,0.1,0.2,0,0.1,0.3,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Mar-19,0,86,17,164,5,0,10,38,320,0,1.1,6.9,3.2,0.3,0,0.2,1.4,1.3,,,,,,,,,,
West Nile/Kunjin virus infection,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Mar-19,0,1,2,9,0,0,0,0,12,0,0,0.8,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Mar-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Mar-19,0,28,0,27,1,0,1,0,57,0,0.3,0,0.5,0.1,0,0,0,0.2,,,,,,,,,,
Tularaemia,Mar-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Feb-19,0,2,0,3,0,1,1,3,10,0,0,0,0.1,0,0.2,0,0.1,0,,,,,,,,,,
Hepatitis B (unspecified),Feb-19,8,200,8,84,25,3,118,41,487,1.9,2.5,3.3,1.6,1.4,0.6,1.8,1.6,1.9,,,,,,,,,,
Hepatitis C (newly acquired),Feb-19,1,1,0,32,3,0,2,5,44,0.2,0,0,0.6,0.2,0,0,0.2,0.2,,,,,,,,,,
Hepatitis C (unspecified),Feb-19,10,291,10,154,16,16,137,72,706,2.3,3.6,4.1,3,0.9,3,2.1,2.7,2.8,,,,,,,,,,
Hepatitis D,Feb-19,0,3,0,0,0,0,1,4,8,0,0,0,0,0,0,0,0.2,0,,,,,,,,,,
Botulism,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Feb-19,55,968,35,847,288,53,478,248,2972,12.9,12,14.2,16.6,16.4,9.9,7.2,9.5,17.2,,,,,,,,,,
Cryptosporidiosis,Feb-19,5,111,15,111,10,0,105,19,376,1.2,1.4,6.1,2.2,0.6,0,1.6,0.7,1.5,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Feb-19,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Feb-19,0,8,1,2,4,0,15,3,33,0,0.1,0.4,0,0.2,0,0.2,0.1,0.1,,,,,,,,,,
Hepatitis E,Feb-19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Feb-19,0,1,0,2,0,0,2,2,7,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Paratyphoid,Feb-19,0,14,0,0,2,0,3,4,23,0,0.2,0,0,0.1,0,0,0.2,0.1,,,,,,,,,,
STEC,Feb-19,0,4,0,2,30,0,8,14,58,0,0,0,0,1.7,0,0.1,0.5,0.2,,,,,,,,,,
Salmonellosis,Feb-19,7,405,33,362,239,31,298,208,1583,1.6,5,13.4,7.1,13.6,5.8,4.5,7.9,6.2,,,,,,,,,,
Shigellosis,Feb-19,6,68,25,58,26,1,63,36,283,1.4,0.8,10.2,1.1,1.5,0.2,1,1.4,1.1,,,,,,,,,,
Typhoid Fever,Feb-19,1,10,0,7,3,0,10,4,35,0.2,0.1,0,0.1,0.2,0,0.2,0.2,0.1,,,,,,,,,,
Legionellosis,Feb-19,0,12,1,7,1,3,5,4,33,0,0.1,0.4,0.1,0.1,0.6,0.1,0.2,0.1,,,,,,,,,,
Leprosy,Feb-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Feb-19,1,5,0,3,0,0,0,1,10,0.2,0.1,0,0.1,0,0,0,0,0,,,,,,,,,,
Tuberculosis,Feb-19,0,50,0,18,5,0,31,6,110,0,0.6,0,0.4,0.3,0,0.5,0.2,0.4,,,,,,,,,,
COVID-19,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Feb-19,157,2763,247,2092,541,131,2335,1053,9319,36.8,34.2,100.4,41.1,30.9,24.5,35.4,40.2,36.8,,,,,,,,,,
Donovanosis,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Feb-19,23,937,129,471,177,11,766,328,2842,5.4,11.6,52.4,9.2,10.1,2.1,11.6,12.5,11.2,,,,,,,,,,
Syphilis < 2 years,Feb-19,6,149,22,94,13,0,158,53,495,1.4,1.8,8.9,1.8,0.7,0,2.4,2,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Feb-19,4,63,7,21,19,3,70,18,205,0.9,0.8,2.8,0.4,1.1,0.6,1.1,0.7,0.8,,,,,,,,,,
Syphilis congenital,Feb-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Feb-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Feb-19,0,0,1,2,0,0,0,0,3,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Feb-19,70,2375,66,1982,841,86,1231,521,7172,16.4,29.4,26.8,38.9,48,16.1,18.7,19.9,28.3,,,,,,,,,,
Measles,Feb-19,1,5,3,4,0,0,4,3,20,0.2,0.1,1.2,0.1,0,0,0.1,0.1,0.1,,,,,,,,,,
Mumps,Feb-19,0,4,1,5,1,0,3,1,15,0,0,0.4,0.1,0.1,0,0,0,0.1,,,,,,,,,,
Pertussis,Feb-19,21,372,6,128,24,72,151,62,836,4.9,4.6,2.4,2.5,1.4,13.5,2.3,2.4,3.3,,,,,,,,,,
Pneumococcal disease (invasive),Feb-19,1,26,3,15,5,0,19,7,76,0.2,0.3,1.2,0.3,0.3,0,0.3,0.3,0.3,,,,,,,,,,
Poliovirus infection,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Feb-19,16,49,3,52,32,2,18,28,200,3.8,0.6,1.2,1,1.8,0.4,0.3,1.1,0.8,,,,,,,,,,
Rubella,Feb-19,0,3,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Feb-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Feb-19,16,NN,4,32,56,7,90,63,268,3.8,NN,1.6,0.6,3.2,1.3,1.4,2.4,1.1,,,,,,,,,,
Varicella zoster (shingles),Feb-19,29,NN,35,261,297,34,215,205,1076,6.8,NN,14.2,5.1,16.9,6.4,3.3,7.8,4.2,,,,,,,,,,
Varicella zoster (unspecified),Feb-19,9,NN,0,455,0,16,595,104,1179,2.1,NN,0,8.9,0,3,9,4,4.6,,,,,,,,,,
Barmah Forest virus infection,Feb-19,0,4,1,18,0,3,0,0,26,0,0,0.4,0.4,0,0.6,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Feb-19,0,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Feb-19,2,42,3,20,7,2,27,31,134,0.5,0.5,1.2,0.4,0.4,0.4,0.4,1.2,0.5,,,,,,,,,,
Flavivirus infection (unspecified),Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Feb-19,1,4,0,12,3,0,7,4,31,0.2,0,0,0.2,0.2,0,0.1,0.2,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Feb-19,0,61,20,135,3,2,14,32,267,0,0.8,8.1,2.7,0.2,0.4,0.2,1.2,1.1,,,,,,,,,,
West Nile/Kunjin virus infection,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Feb-19,0,1,0,4,1,0,0,1,7,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Feb-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Feb-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
